"","Period","Value New Zealand Activity Index (NZAC)","Value NZAC component - Card transaction spend","Value NZAC component - Electricity grid demand","Value NZAC component - Manufacturing index","Value NZAC component - New jobs posted online","Value NZAC component - Traffic index (heavy)","Value NZAC component - Traffic index (light)"
"172",2018-01-31,2.7837,5.3782,1.382,54.0703,7.83,6.3679,4.049
"173",2018-05-31,2.4996,4.6429,-0.3676,55.929,10.2977,4.0267,3.8703
"174",2018-02-28,2.0162,4.7941,-2.5886,54.0006,6.9876,0.5741,3.9637
"175",2018-06-30,2.4732,4.9796,3.1897,52.3188,5.3665,3.6684,2.9865
"176",2018-03-31,2.3251,5.5985,-2.2209,54.5001,10.1138,2.6023,4.4959
"177",2018-04-30,3.2071,3.5565,2.5937,58.9936,7.5861,4.8743,4.1611
"178",2018-07-31,2.0675,4.9342,-0.0425,51.8858,6.1325,6.5096,2.6131
"179",2018-08-31,2.1989,6.4009,1.2965,52.7673,5.6965,4.357,3.9572
"180",2018-10-31,2.3268,6.5914,2.1766,52.4004,7.6946,5.2491,1.1121
"181",2018-09-30,2.1796,5.3247,1.3019,51.7708,12.6408,2.4129,1.7929
"182",2019-01-31,2.2306,4.394,2.3298,51.1465,13.3438,2.7186,2.6345
"183",2018-11-30,1.2344,4.3626,-2.7645,51.8422,2.9095,1.5062,0.9513
"184",2018-12-31,1.2321,1.6768,-4.5654,55.0908,5.4675,-0.5899,0.045
"185",2019-02-28,2.7611,3.7236,4.6619,54.2703,8.1479,4.6215,1.7849
"186",2019-03-31,2.0392,1.7578,3.5207,52.7894,2.7217,0.369,1.8659
"187",2019-04-30,1.8959,5.0663,0.2471,53.095,1.2234,3.2936,2.0672
"188",2019-06-30,1.0228,1.5258,-1.8989,50.8305,6.1603,-2.4229,-0.5592
"189",2019-05-31,1.3871,3.8853,-2.031,51.9013,2.7733,1.8865,2.2316
"190",2019-07-31,0.8935,3.1484,-1.038,48.2025,-0.2095,-0.0874,-0.3866
"191",2019-11-30,1.5468,4.0905,1.2,49.7737,-2.7365,-0.694,1.2611
"192",2019-08-31,1.2424,3.2328,2.4208,48.8593,1.6202,-3.109,0.5194
"193",2019-09-30,1.1423,2.0756,1.309,48.2978,-0.8668,-0.0118,1.1521
"194",2019-10-31,1.4706,2.7601,1.4861,51.9158,0.4474,0.6455,0.4339
"195",2019-12-31,2.0879,3.2683,4.9203,49.4398,-3.9265,0.9332,0.0545
"196",2020-02-29,1.9676,7.4721,2.6966,54.9976,-4.3061,-2.3306,2.0642
"197",2020-03-31,-2.6936,-6.6958,-1.9694,38.4599,-31.1645,-9.2545,-18.6611
"198",2020-01-31,1.3903,3.764,0.4649,47.7165,0.4439,2.0251,1.9346
"199",2020-05-31,-3.6681,-13.1703,-0.56,41.3255,-57.8006,-9.5392,-20.6416
"200",2020-04-30,-13.5403,-51.289,-13.7445,26.0469,-73.823,-51.7156,-73.4263
"201",2020-06-30,0.3627,4.1964,-1.1789,55.7274,-42.376,5.5622,1.7196
"202",2020-08-31,-0.9552,-5.3347,-3.4808,51.0529,-29.3195,3.4101,-3.8769
"203",2020-07-31,1.5866,6.2782,2.4489,58.8708,-31.024,5.1362,7.5154
"204",2020-09-30,1.0917,3.2038,0.0725,53.7203,-22.1228,7.757,8.3726
"205",2020-10-31,0.9128,3.6084,0.2191,51.9048,-15.6719,2.2334,8.6819
"206",2020-12-31,1.3578,1.8185,-0.8064,49.2226,0.5381,8.8464,6.3312
"207",2020-11-30,1.1269,-0.7759,-0.2198,54.7999,-4.4283,1.8124,3.4433
"208",2021-02-28,0.7006,-8.066,-4.5832,54.3573,-1.7142,4.5466,1.949
"209",2021-01-31,0.8603,-1.9031,-4.1606,57.2855,-5.9297,-0.8909,2.1235
"210",2021-03-31,5.6043,7.788,2.1585,63.8402,56.1197,20.113,26.5849
"211",2021-04-30,32.4398,117.0476,15.4017,58.1354,354.7692,134.0285,320.6569
"212",2021-05-31,8.7613,22.1912,3.0006,58.3462,191.9758,16.2404,38.6277
"213",2021-06-30,5.0837,5.4037,0.5221,59.7866,114.6013,5.7375,9.1968
"216",2021-07-31,4.6496,5.9522,0.6466,62.4377,86.3819,3.3943,3.4048
"217",2021-08-31,-0.6489,-11.8761,-0.3209,39.7323,57.2723,-13.3578,-20.0298
