Period,Weekly_Median_Rent_Price,Weekly_Mean_Rent_Price,RPI_Flow,RPI_Stock,FPI_Food,FPI_Fruit_and_vegetables,FPI_Meat_poultry_and_fish,FPI_Grocery_food,FPI_Non-alcoholic_beverages,FPI_Restaurant_meals_and_ready-to-eat_food,NZAC_Total_Annual_change,NZAC_Annual_change_Card_transaction_spend,NZAC_Annual_change_Electricity_grid_demand,NZAC_Annual_change_Manufacturing_index,NZAC_Annual_change_New_jobs_posted_online,NZAC_Annual_change_Traffic_index_(heavy),NZAC_Annual_change_Traffic_index_(light),Exports_Cumulative_billion,Imports_Cumulative_billion
2018-01-31,430,460,1401,1398,991,885,1006,1013,1000,1014,2.7837,5.3782,1.382,54.0703,7.83,6.3679,4.049,4.275,4.938
2018-02-28,430,460,1428,1401,986,877,985,1006,1005,1017,2.0162,4.7941,-2.5886,54.0006,6.9876,0.5741,3.9637,8.72,9.194
2018-03-31,420,450,1435,1406,996,928,997,1006,1005,1018,2.3251,5.5985,-2.2209,54.5001,10.1138,2.6023,4.4959,13.517,14.142
2018-04-30,425,451,1445,1410,997,920,988,1010,1016,1024,3.2071,3.5565,2.5937,58.9936,7.5861,4.8743,4.1611,18.484,18.909
2018-05-31,425,448,1450,1415,997,902,996,1007,1027,1027,2.4996,4.6429,-0.3676,55.929,10.2977,4.0267,3.8703,23.834,24.059
2018-06-30,425,448,1448,1419,1002,954,994,999,1025,1030,2.4732,4.9796,3.1897,52.3188,5.3665,3.6684,2.9865,28.712,29.223
2018-07-31,425,446,1440,1422,1009,977,995,1002,1043,1034,2.0675,4.9342,-0.0425,51.8858,6.1325,6.5096,2.6131,34.048,34.762
2018-08-31,430,450,1442,1425,1004,956,981,1007,1023,1035,2.1989,6.4009,1.2965,52.7673,5.6965,4.357,3.9572,38.024,40.304
2018-09-30,435,457,1448,1428,1003,904,998,1016,1027,1037,2.1796,5.3247,1.3019,51.7708,12.6408,2.4129,1.7929,42.276,46.137
2018-10-31,440,460,1467,1432,997,855,1022,1012,1024,1038,2.3268,6.5914,2.1766,52.4004,7.6946,5.2491,1.1121,47.105,52.271
2018-11-30,435,463,1469,1436,991,824,1018,1012,1012,1040,1.2344,4.3626,-2.7645,51.8422,2.9095,1.5062,0.9513,51.962,58.132
2018-12-31,440,465,1472,1437,989,815,1020,1013,986,1042,1.2321,1.6768,-4.5654,55.0908,5.4675,-0.5899,0.045,57.251,63.412
2019-01-31,450,486,1467,1440,999,852,1025,1022,991,1044,2.2306,4.394,2.3298,51.1465,13.3438,2.7186,2.6345,4.344,5.279
2019-02-28,450,491,1492,1444,1003,872,1019,1014,1032,1046,2.7611,3.7236,4.6619,54.2703,8.1479,4.6215,1.7849,9.053,10.081
2019-03-31,450,476,1507,1451,1008,904,1006,1020,1026,1048,2.0392,1.7578,3.5207,52.7894,2.7217,0.369,1.8659,14.652,14.856
2019-04-30,450,475,1509,1456,1007,882,1011,1022,1020,1057,1.8959,5.0663,0.2471,53.095,1.2234,3.2936,2.0672,20.134,19.976
